School,Department,Start Time,End Time,Description
【上海外国语大学】,国际金融贸易学院（应用经济学学术型硕士）,2024-05-29,2024-06-20,上海外国语大学国际金融贸易学院应用经济学学术型硕士研究生2024年全国优秀大学生夏令营招生简章发布时间：2024-05-29上海外国语大学国际金融贸易学院“全国优秀大学生夏令营”活动始于2019年，是我院为促进全国优秀学子交流学习和人才选拔搭建的高端平台。为进一步探索应用经济学学人才的选拔和培养模式，本届应用经济学学术硕士夏令营活动拟于2024年6月28日-6月30日在上海外国语大学虹口校区线下举
【中国科学院大学】,外语系,2024-05-29,2024-06-23,2024年“语言之光，翻译之桥，文学之梦”夏令营通知 2024-05-29中国科学院大学外语系成立于1978年，前身是中国科学院研究生院外语教学部，由“中国应用语言学之母”李佩先生创建。1984年经教育部批准招收应用语言学研究生班，开启国内外国语言文学学科建设先河。1990年获外国语言学及应用语言学硕士学位授予权。2010年获翻译硕士专业学位授予权。2011年获外国语言文学一级学科硕士学位授予权。
【北京林业大学】,生态与自然保护学院,2024-05-29,2024-06-16,【夏令营招募】北京林业大学生态与自然保护学院2024年优秀大学生暑期夏令营招募发布日期:2024-05-29我院将于2024年7月8日－7月11日组织开展暑期夏令营活动。在全国范围内招收对生态学、动物学、植物学、自然保护区学、国家公园学等感兴趣的优秀本科生进行集中交流，增强科研兴趣，拓展学术视野，明确研究方向。欢迎全国各高校2025届优秀本科毕业生踊跃报名参加。学院（SchoolofEcology
【西安交通大学】,电信学部（网络空间安全学院）,2024-05-29,2024-06-15,电信学部-网络空间安全学院2024年（第六届）全国优秀大学生夏令营通知2024年05月29日为了促进各高校优秀大学生之间的交流与互动，网络空间安全学院将于2024年6月举办全国优秀大学生夏令营，为广大学子提供进一步了解我院的机会。夏令营拟分为两部分进行：线上直播宣讲、线下进组实习，现诚挚邀请广大学子踊跃参加。  一、活动时间和方式  1.活动时间：6月中下旬，具体时间另行通知。  2.活动方式：宣
【湖南大学】,机器人学院,2024-05-29,2024-06-14,湖南大学机器人学院2024年优秀大学生暑期夏令营活动通知发表时间：2024-05-29为促进高校优秀大学生之间的学术交流，增进学生对我院学科、科研及研究生培养的了解，我院将于2024年6月举办“优秀大学生暑期夏令营”活动（以下简称夏令营活动）。夏令营活动期间，学院将开展2025年推荐免试硕士研究生、直博生候选人选拔工作，欢迎全国各高校优秀大学生报名。本年度拟接收100名左右优秀本科生参加暑期夏令营
【华东理工大学】,物理学院,2024-05-29,2024-06-15,物理学院关于举办2024年大学生暑期夏令营活动的通知华东理工大学物理学院2021年7月成立，具有物理学一级学科博士点，是华东理工大学双一流学科群建设学科。学院现有包括国家杰出青年科学基金获得者、国家优秀青年科学基金获得者、中科院百人计划学者、上海市优秀学科带头人等国家、省部级优秀人才在内的教职工87人。近五年在理论物理、等离子体物理、凝聚态物理、光学等学科领域获得了具有丰富特色的研究成果，发表在N
【中国科学技术大学】,计算机科学与技术学院,2024-05-29,2024-06-25,2024年第十一届计算机科学暑期夏令营报名通知 来源时间：2024年05月29日一.  申请条件1、欢迎包括“双一流”、“985”或“211”在内的重点高校计算机类专业及相关专业的2025届优秀本科毕业生报名。2、有望取得就读学校推荐免试研究生资格。3、有较强的研究能力；对所报专业的研究有浓厚的兴趣，有志于在计算机学科领域继续深造。二．时间及日程安排1、营员报名截止日期：2024年6月25日。 2
【南京师范大学】,文学院,2024-05-29,2024-06-15,南京师范大学文学院2024年全国“优秀本科生夏令营”活动公告2024-05-29文学院是南京师范大学的支柱院系，拥有“江南文枢”的美誉，是我国高等文科教育的东南重镇、人文科学研究的重要学术基地。文学院的前身是始建于1952年的南京师范学院中文系。唐圭璋、孙望、段熙仲、徐复等诸多学术大师曾经长期耕耘于此，形成了深博厚重的学术底蕴和严谨朴实的治学传统。1997年，中文系升格为文学院。它以先进的教育理念
【浙江大学】,历史学院,2024-05-23,2024-06-15,浙江大学历史学院2024年优秀大学生云夏令营招生简章2024-05-22浙江大学历史学院秉持求是精神，致力于养成“勤学、修德、明辨、笃实”的学风，多年来已培养数千名高质量优秀人才，活跃于各行各业。学院现有中国史与世界史两个一级学科博士学位授予权与博士后流动站。在敦煌学和丝路文明、全球视野下的文明互鉴、中国文化与东亚文明等领域处于全国领先地位。学院现设5个研究所和7个研究中心。为给全国各院校的优秀本
【南方医科大学】,基础医学院,2024-05-29,2024-06-15,2024年南方医科大学基础医学院优秀大学生夏令营通知发布时间：2024-05-29为增进全国优秀大学生对南方医科大学基础医学、生物学专业的了解，促进不同高校间的交流和优秀人才的选拔深造，我院将在2024年7月5-7日举办全国优秀大学生夏令营活动，并为具有科研兴趣和培养潜质的优秀大学生提供推免攻读我校硕士研究生的机会（成绩优异者将被我校录取为博士（直博）研究生）。一、学院简介基础医学院自2005年建
【兰州大学】,核科学与技术学院,2024-05-29,2024-06-20,关于举办“兰州大学核科学与技术学院2024年优秀大学生暑期夏令营”活动的通知2024-05-29  为了促进高校优秀大学生之间的交流，增进学生对兰州大学核科学与技术学院的了解，选拔有培养潜质的优秀大学生继续深造，我院特举办“兰州大学核科学与技术学院2024年优秀大学生暑期夏令营”活动。一、兰州大学及核科学与技术学院简介  兰州大学是教育部直属的全国重点综合性大学，是国家“985工程”“211工程”
【南京师范大学】,地理科学学院,2024-05-29,2024-06-15,南京师范大学地理科学学院2024年优秀本科生夏令营公告时间：2024-05-29一、地理学博硕士学位点简介南京师范大学地理学的历史可追溯到1919年的南京高等师范学校文史部。1952年，我国著名的人文地理学家李旭旦教授到南京师范学院创办地理系。1997年成立地理科学学院。目前，南京师范大学地理学拥有多个高层次科学研究及人才培养平台。地理学为国家“双一流”建设学科、江苏省优势学科，地图学与地理信息系
【上海外国语大学】,体育教学部,2024-05-29,2024-06-20,夏令营报名|2024年上海外国语大学体育教育学专业优秀大学生夏令营招生简章夏令营招生简章SISU SUMMERCA2024年上海外国语大学体育教育学优秀大学生夏令营将于7月3日-5日在松江校区师生活动中心举行，夏令营面向全国招收体育教育学优秀本科生。体育教育学硕士点将邀请学科点资深导师、学术名师开展学术讲座，与名师面对面交流，同时通过能力考评、成长对话、团队任务等方式考察营员综合素质，进一步增强青
【扬州大学】,兽医学院,2024-05-29,2024-06-20,扬州大学兽医学院第九届全国优秀大学生夏令营招生简章发布日期：2024-05-29扬州大学兽医学院第九届全国优秀大学生夏令营活动拟于2024年7月12-15日举办。活动内容包括开营典礼、专家讲座、交流座谈、实验室参观、校园文化之旅等。通过近距离接触中国工程院院士、“国家级有突出贡献的中青年专家”、“全国优秀教师”、“新世纪百千万人才工程”等国家级学术大师，以及研究生国家奖学金获得者等优秀人才，开启你
【广东外语外贸大学】,新闻与传播硕士教育中心,2024-05-29,2024-06-09,2024年全媒体与国际传播优秀大学生夏令营招生简章广东外语外贸大学是一所具有鲜明国际化特色的广东省属重点大学，是华南地区国际化人才培养和外国语言文化、对外经济贸易、国际战略研究、国际新闻传播的重要基地。为促进大学生相互交流，提高青年学生的学习热情和研究兴趣，使更多优秀大学生走进广东外语外贸大学，学校决定举办“广东外语外贸大学2024年优秀大学生暑期夏令营”。广东外语外贸大学新闻与传播学院始建于20
【华东理工大学】,高等教育研究所,2024-05-29,2024-06-16,华东理工大学高等教育研究所2024年全国大学生暑期夏令营通知华东理工大学高等教育研究所创建于1982年，是学校直属的教育科研和决策咨询机构，直接服务于学校发展，并为国家和地区高等教育发展提供决策咨询服务。2003年获批高等教育学二级学科硕士点，2020年获批教育学一级学科硕士点，在高等教育、工程教育、智慧教育3个方向招收学术型硕士研究生。此外，高教所还承担了中国化工教育协会会刊《化工高等教育》编辑
【浙江大学】,集成电路学院,2024-05-29,2024-06-17,浙江大学集成电路学院2024年全国优秀大学生暑期学术夏令营活动通知2024-05-29浙江大学集成电路学院将于2024年7月4日-6日举办“2024年全国优秀大学生暑期学术夏令营”活动（线下）。本次活动旨在促进全国各高校优秀大学生之间的交流，增进优秀大学生对浙江大学集成电路学院的全面了解，同时为基础扎实、热爱科研、德才兼备的优秀学生构建继续深造的平台。夏令营期间，我院将举办学科专业介绍、导师交流、
【中国科学院大学】,地理科学与资源研究所,2024-05-29,2024-06-21,中科院地理资源所关于举办第八届“感受地理之美”优秀大学生夏令营活动的通知发布时间：2024-05-29中国科学院地理科学与资源研究所是我国资源环境领域具有引领作用的国立研究机构，是国家区域发展、生态文明建设、资源利用和环境整治方面重要的思想库、人才库，是国际地理科学、资源科学和生态学领域著名的综合性研究机构。研究所拥有地理学、生态学和应用经济学3个一级学科，以及自然地理学、人文地理学、地图学与地理
